session,phase,event_type,target_bpm,channel,device,method,p_reference,p_noise,snr_ref_db
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,tensometric,Pas tensometryczny,raw,4910755158824.075,243362368247.99857,13.048948585436476
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,tensometric,Pas tensometryczny,detrend,4910611580311.101,246109278919.4276,13.000075956817748
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,tensometric,Pas tensometryczny,SMA,4713105332693.246,193477098526.10028,13.866775799894047
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,tensometric,Pas tensometryczny,EMA,4002589438966.9805,138054618207.73938,14.622901058780386
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,tensometric,Pas tensometryczny,median,4829737297528.003,227825144686.39725,13.263218541868172
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,tensometric,Pas tensometryczny,S-G,4908412343729.728,233848173655.78152,13.220070571694919
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,tensometric,Pas tensometryczny,raw,3042287494884.59,285738768830.57715,10.27231083158169
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,tensometric,Pas tensometryczny,detrend,3042285206961.2803,275793487065.65985,10.426159197096993
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,tensometric,Pas tensometryczny,SMA,2573498490717.657,194600716530.2347,11.213794828543639
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,tensometric,Pas tensometryczny,EMA,1577352951068.1099,150000342345.38397,10.218366323983318
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,tensometric,Pas tensometryczny,median,2878322357215.658,253119347590.71323,10.5581408862498
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,tensometric,Pas tensometryczny,S-G,3020873912229.4043,242006053191.31702,10.963063697702292
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,tensometric,Pas tensometryczny,raw,2053781947960.4302,166363844805.99484,10.91495383525209
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,tensometric,Pas tensometryczny,detrend,2053781908525.611,163574491987.88904,10.988387437124182
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,tensometric,Pas tensometryczny,SMA,1264547267219.6282,93075124572.57816,11.33101441222314
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,tensometric,Pas tensometryczny,EMA,571113280379.1256,77877252615.98485,8.653116372376827
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,tensometric,Pas tensometryczny,median,1664255498084.969,150131756484.51022,10.447474346652172
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,tensometric,Pas tensometryczny,S-G,1948903063702.8796,119526701257.47339,12.123253044759698
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,pressure,Pas barometryczny,raw,1389938.8752454629,46048.6266800429,14.797790192384104
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,pressure,Pas barometryczny,detrend,1389909.5822945642,49562.146097511635,14.478364454817909
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,pressure,Pas barometryczny,SMA,1334039.5763857027,40179.943871700365,15.211593880650724
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,pressure,Pas barometryczny,EMA,1131482.2036405455,31224.80672630916,15.591479687234886
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,pressure,Pas barometryczny,median,1375188.0639594062,47024.35003285099,14.660392927290156
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,pressure,Pas barometryczny,S-G,1389287.4532696793,47285.31270437626,14.680658481623912
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,pressure,Pas barometryczny,raw,793663.7139471925,59661.711628964484,11.23940816317454
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,pressure,Pas barometryczny,detrend,793663.9696084238,60882.37351905943,11.151450896485017
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,pressure,Pas barometryczny,SMA,671380.7282834975,42817.40148319592,11.953485636915564
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,pressure,Pas barometryczny,EMA,411797.9425925526,32022.326078229944,11.09231296922663
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,pressure,Pas barometryczny,median,745370.6015094302,54541.32068034534,11.356466096821045
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,pressure,Pas barometryczny,S-G,788079.6151824846,54239.42286071942,11.622550342614545
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,pressure,Pas barometryczny,raw,403905.03864852217,26715.921186588024,11.79509117353196
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,pressure,Pas barometryczny,detrend,403905.0343443939,26448.397107634966,11.838799093667303
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,pressure,Pas barometryczny,SMA,248701.31020325143,15135.980294757954,12.156675195589962
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,pressure,Pas barometryczny,EMA,112323.61868548673,12139.05086048186,9.66286355462681
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,pressure,Pas barometryczny,median,322722.20670876483,23345.00395198065,11.40634898709342
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,pressure,Pas barometryczny,S-G,383280.403683011,19945.09585082377,12.836804875083786
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,raw,10.30917448285588,78.02995186773119,-8.790374488998621
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,detrend,10.299996215718254,75.59601705453531,-8.656618491837948
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,SMA,9.939488357717966,73.64171829622308,-8.697598840727967
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,EMA,8.475563598259113,74.08701154540687,-9.41573489910055
