Aktywność,$RR_{zad}$ [oddechy/min],Tor pomiarowy,Surowy,Detr.,SMA,EMA,Med.,S-G
bieg,20.0,Pas barometryczny,2.6060466911073377,2.5145031362447297,3.377130449717047,1.0153874896662005,2.92170502127316,4.292644938366847
bieg,20.0,Pas tensometryczny,-2.538581052621045,1.6307204569345215,0.8718028126204967,-1.455273553011648,0.9772840267750688,1.9822077736529486
bieg,20.0,Urządzenie z czujnikami temperatury - lewe nozdrze,6.2628954198353135,6.651957909973959,8.05643313169568,6.519725166767412,6.974115994808594,7.749494653128897
bieg,20.0,Urządzenie z czujnikami temperatury - prawe nozdrze,3.7498717327419593,5.995082116703142,6.653814872283499,4.537577223709416,6.1562412564217155,6.80783483926797
bieg,20.0,Urządzenie z czujnikami temperatury - usta,-18.11071084327083,-4.20453575383565,-5.580449595849356,-8.414527728917907,-5.397541066576334,-4.127104811584809
chód,20.0,Pas barometryczny,0.8548672782991585,0.8150774686621859,3.7592639897638196,1.1882703577206697,1.6712380329662566,3.3456548668991157
chód,20.0,Pas tensometryczny,-2.190949975502105,2.4342009095314685,2.2218573721947728,-0.07250340094996231,2.0752758771134325,3.207218698932847
chód,20.0,Urządzenie z czujnikami temperatury - lewe nozdrze,8.099045925043843,8.78875522202366,9.426255594748556,8.084672514995452,8.635985043072548,9.654375406629502
chód,20.0,Urządzenie z czujnikami temperatury - prawe nozdrze,5.600023136790741,8.119593393433215,8.564136888225107,6.884859568198642,8.103265103186587,8.93809318447376
chód,20.0,Urządzenie z czujnikami temperatury - usta,-21.207090415515474,-14.179082956840045,-16.046311612633943,-19.594592616272013,-15.854960968775773,-14.314847683408052
