Aktywność,$RR_{zad}$ [oddechy/min],Tor pomiarowy,Surowy,Detr.,SMA,EMA,Med.,S-G
chód,12.0,Pas barometryczny,3.521510779982981,3.515481567291834,5.967248689245741,5.248052526767646,5.349365333726831,5.247115173664568
chód,12.0,Pas tensometryczny,5.974388663776375,5.979735221401827,7.228144469025098,6.138841932560193,6.5914322204413756,7.088480649552638
chód,12.0,Urządzenie z czujnikami temperatury - lewe nozdrze,7.80319509297692,7.804658322399752,8.573583987499223,8.198253219818325,7.873872448026358,8.132816631714912
chód,12.0,Urządzenie z czujnikami temperatury - prawe nozdrze,8.111581661548634,8.109255391787865,8.831345078402919,8.270076625371688,8.131426603248336,8.461419003551905
chód,12.0,Urządzenie z czujnikami temperatury - usta,-12.6412145594688,-9.146095508845779,-9.563604839386583,-11.507402307591075,-9.255533176159481,-9.034731031640883
chód,20.0,Pas barometryczny,4.159566767632219,4.1516039259205675,5.426164516273776,3.7900571023215086,4.280872980718883,5.817741220257878
chód,20.0,Pas tensometryczny,6.690820976649531,6.591715479412903,7.077329341941291,5.395184005634917,6.306422931388842,7.712078549580478
chód,20.0,Urządzenie z czujnikami temperatury - lewe nozdrze,7.549390739680655,7.4336753428061275,7.118286739975066,5.170561010458687,7.1040682591085815,7.8546617901339175
chód,20.0,Urządzenie z czujnikami temperatury - prawe nozdrze,8.407789773624355,8.422523184412182,8.255460258617,6.644848509544721,8.070400120826287,8.901118085394458
chód,20.0,Urządzenie z czujnikami temperatury - usta,-9.592320880158343,-9.825154887843997,-11.544010449561863,-14.678552612669446,-10.281097350148604,-9.911119090616587
