phase,channel,window_s,method,windows,valid_windows,valid_fraction,mae_valid_bpm,rmse_valid_bpm,bias_valid_bpm,penalized_mae_bpm,invalid_windows
sitting,pressure,5,Autokorelacja,23,23,1.0,4.02694938294714,4.639300512591165,1.5464941908733338,4.02694938294714,0
sitting,pressure,5,FFT,23,23,1.0,4.738022550057504,6.4972567247498105,-2.411918604628432,4.738022550057504,0
sitting,pressure,5,Maksima,23,6,0.2608695652173913,2.3650793650793656,3.4227242909975137,-1.2539682539682537,11.921325051759835,17
sitting,pressure,5,Minima,23,8,0.34782608695652173,3.6378787878787877,4.655049390687984,3.4378787878787875,12.56969696969697,15
sitting,pressure,5,Przejścia przez zero,23,12,0.5217391304347826,3.914574787986767,4.901292045416967,1.277212150624129,9.2162998893844,11
sitting,pressure,10,Autokorelacja,22,22,1.0,13.070313935719502,18.255227905914072,3.6918510280623575,13.070313935719502,0
sitting,pressure,10,FFT,22,22,1.0,6.331241124757401,7.939602327005845,-4.534013916361695,6.331241124757401,0
sitting,pressure,10,Maksima,22,22,1.0,2.914824360078573,3.996077915847602,0.32099602256861215,2.914824360078573,0
sitting,pressure,10,Minima,22,19,0.8636363636363636,5.0052399992116,6.60806686796212,0.772142558925456,5.913616362955472,3
sitting,pressure,10,Przejścia przez zero,22,22,1.0,4.261511594519878,5.661311934527044,0.2723642765636034,4.261511594519878,0
sitting,pressure,20,Autokorelacja,20,20,1.0,19.785096086949753,22.597459112414167,6.2967220948684295,19.785096086949753,0
sitting,pressure,20,FFT,20,20,1.0,6.987451177801231,7.913939717895498,-5.02379940344226,6.987451177801231,0
sitting,pressure,20,Maksima,20,20,1.0,4.842499156965612,6.534896234985789,0.2795905500605732,4.842499156965612,0
sitting,pressure,20,Minima,20,20,1.0,4.947935189460957,6.954927276359025,0.7985442765168413,4.947935189460957,0
sitting,pressure,20,Przejścia przez zero,20,20,1.0,5.98270997954421,8.08937445395375,0.617434203306739,5.98270997954421,0
sitting,temperature_left,5,Autokorelacja,23,23,1.0,4.017551753807438,4.637750014854057,1.233814210814229,4.017551753807438,0
sitting,temperature_left,5,FFT,23,23,1.0,4.852579025467385,6.762586958001498,-2.8772848126790205,4.852579025467385,0
sitting,temperature_left,5,Maksima,23,9,0.391304347826087,5.686026220579996,9.069531697019585,5.508248442802218,12.224966781966083,14
sitting,temperature_left,5,Metoda nachylenia,23,17,0.7391304347826086,5.647058823529412,6.773651374345779,-4.9411764705882355,8.956521739130435,6
sitting,temperature_left,5,Minima,23,6,0.2608695652173913,2.4201595943882697,3.6699734701959152,-1.7768847405870993,11.935693807231726,17
sitting,temperature_left,5,Przejścia przez zero,23,11,0.4782608695652174,3.1341815723154465,3.905699343788087,2.584686622820497,10.19460857806391,12
sitting,temperature_left,10,Autokorelacja,22,22,1.0,10.310793305923067,15.160509910371927,0.4503350778748446,10.310793305923067,0
sitting,temperature_left,10,FFT,22,22,1.0,5.374445786289112,6.552166331482903,-2.254051347980901,5.374445786289112,0
sitting,temperature_left,10,Maksima,22,19,0.8636363636363636,4.88869497477428,6.556828895714455,1.8823072104917786,5.812963841850514,3
sitting,temperature_left,10,Metoda nachylenia,22,22,1.0,5.636363636363637,6.105139414683933,-4.0,5.636363636363637,0
sitting,temperature_left,10,Minima,22,22,1.0,3.1812921129109473,4.492814031393941,0.24050129085362765,3.1812921129109473,0
sitting,temperature_left,10,Przejścia przez zero,22,20,0.9090909090909091,3.993761573064306,4.831817563635733,0.24579399434236154,4.539783248240277,2
sitting,temperature_left,20,Autokorelacja,20,20,1.0,13.870875883091767,17.009721697988628,-2.8799667921826773,13.870875883091767,0
sitting,temperature_left,20,FFT,20,20,1.0,6.029846599339665,6.834363949559812,-4.0206891389151975,6.029846599339665,0
