session_id,timestamp_ms,datetime_iso,event_type,note
session_20260623_163953_final,0,2026-06-23T16:39:53.478817,SESSION_START,Start sesji
session_20260623_163953_final,0,2026-06-23T16:39:53.479021,STABILIZATION_START,Stabilizacja
session_20260623_163953_final,10003,2026-06-23T16:40:03.482363,REST_START,Spoczynek
session_20260623_163953_final,22214,2026-06-23T16:40:15.693162,RUCH,Marker ręczny
session_20260623_163953_final,66846,2026-06-23T16:41:00.325808,RUCH,Marker ręczny
session_20260623_163953_final,130005,2026-06-23T16:42:03.483830,METRONOME_6_START,Metronom 6/min
session_20260623_163953_final,220006,2026-06-23T16:43:33.485793,METRONOME_12_START,Metronom 12/min
session_20260623_163953_final,310013,2026-06-23T16:45:03.492763,METRONOME_20_START,Metronom 20/min
session_20260623_163953_final,400019,2026-06-23T16:46:33.498235,SPEECH_START,Mowa
session_20260623_163953_final,430024,2026-06-23T16:47:03.503787,WALK_START,Ruch / chód
session_20260623_163953_final,460025,2026-06-23T16:47:33.504685,COUGH_START,Kaszel
session_20260623_163953_final,490026,2026-06-23T16:48:03.505609,FINAL_REST_START,Spoczynek końcowy
session_20260623_163953_final,492807,2026-06-23T16:48:06.286633,SESSION_STOP,Ręczne zatrzymanie
