session_id,sample_index,timestamp_ms,datetime_iso,device_name,raw_payload,t0,h0,t1,h1,t2,h2,tAmb,hAmb,parse_ok,nan_count
session_20260623_163953_final,0,59,2026-06-23T16:39:53.538044,Okulary BME280,"30.16,75.76,30.97,85.27,31.87,86.56,29.58,43.84",30.16,75.76,30.97,85.27,31.87,86.56,29.58,43.84,true,0
session_20260623_163953_final,1,192,2026-06-23T16:39:53.671168,Okulary BME280,"30.15,75.74,30.90,85.02,31.79,86.40,29.58,43.80",30.15,75.74,30.90,85.02,31.79,86.40,29.58,43.80,true,0
session_20260623_163953_final,2,280,2026-06-23T16:39:53.759363,Okulary BME280,"30.15,75.72,30.83,84.68,31.70,86.31,29.59,43.77",30.15,75.72,30.83,84.68,31.70,86.31,29.59,43.77,true,0
session_20260623_163953_final,3,377,2026-06-23T16:39:53.856233,Okulary BME280,"30.16,75.72,30.75,84.46,31.63,86.36,29.59,43.75",30.16,75.72,30.75,84.46,31.63,86.36,29.59,43.75,true,0
session_20260623_163953_final,4,506,2026-06-23T16:39:53.985169,Okulary BME280,"30.15,75.70,30.76,84.58,31.61,86.66,29.58,43.74",30.15,75.70,30.76,84.58,31.61,86.66,29.58,43.74,true,0
session_20260623_163953_final,5,597,2026-06-23T16:39:54.076755,Okulary BME280,"30.15,75.69,30.82,84.76,31.65,86.99,29.59,43.73",30.15,75.69,30.82,84.76,31.65,86.99,29.59,43.73,true,0
session_20260623_163953_final,6,732,2026-06-23T16:39:54.210999,Okulary BME280,"30.14,75.70,30.89,84.94,31.78,87.25,29.59,43.72",30.14,75.70,30.89,84.94,31.78,87.25,29.59,43.72,true,0
session_20260623_163953_final,7,821,2026-06-23T16:39:54.300288,Okulary BME280,"30.15,75.69,30.96,85.10,31.93,87.43,29.60,43.71",30.15,75.69,30.96,85.10,31.93,87.43,29.60,43.71,true,0
session_20260623_163953_final,8,961,2026-06-23T16:39:54.440751,Okulary BME280,"30.15,75.72,31.02,85.25,32.17,87.63,29.59,43.71",30.15,75.72,31.02,85.25,32.17,87.63,29.59,43.71,true,0
session_20260623_163953_final,9,1045,2026-06-23T16:39:54.524183,Okulary BME280,"30.14,75.62,31.07,85.38,32.24,87.66,29.60,43.69",30.14,75.62,31.07,85.38,32.24,87.66,29.60,43.69,true,0
session_20260623_163953_final,10,1134,2026-06-23T16:39:54.613728,Okulary BME280,"30.14,75.69,31.11,85.51,32.28,87.63,29.60,43.69",30.14,75.69,31.11,85.51,32.28,87.63,29.60,43.69,true,0
session_20260623_163953_final,11,1269,2026-06-23T16:39:54.748549,Okulary BME280,"30.15,75.69,31.13,85.61,32.30,87.60,29.61,43.73",30.15,75.69,31.13,85.61,32.30,87.60,29.61,43.73,true,0
session_20260623_163953_final,12,1364,2026-06-23T16:39:54.843124,Okulary BME280,"30.15,75.69,31.14,85.75,32.29,87.56,29.61,43.73",30.15,75.69,31.14,85.75,32.29,87.56,29.61,43.73,true,0
session_20260623_163953_final,13,1495,2026-06-23T16:39:54.974598,Okulary BME280,"30.15,75.69,31.14,85.72,32.27,87.48,29.61,43.74",30.15,75.69,31.14,85.72,32.27,87.48,29.61,43.74,true,0
session_20260623_163953_final,14,1587,2026-06-23T16:39:55.066311,Okulary BME280,"30.15,75.69,31.11,85.52,32.24,87.40,29.61,43.75",30.15,75.69,31.11,85.52,32.24,87.40,29.61,43.75,true,0
session_20260623_163953_final,15,1721,2026-06-23T16:39:55.200159,Okulary BME280,"30.15,75.68,31.05,85.28,32.19,87.32,29.61,43.75",30.15,75.68,31.05,85.28,32.19,87.32,29.61,43.75,true,0
session_20260623_163953_final,16,1813,2026-06-23T16:39:55.292100,Okulary BME280,"30.14,75.65,30.97,84.99,32.13,87.18,29.62,43.77",30.14,75.65,30.97,84.99,32.13,87.18,29.62,43.77,true,0
session_20260623_163953_final,17,1901,2026-06-23T16:39:55.379960,Okulary BME280,"30.15,75.72,30.91,84.71,31.97,86.80,29.62,43.78",30.15,75.72,30.91,84.71,31.97,86.80,29.62,43.78,true,0
session_20260623_163953_final,18,2035,2026-06-23T16:39:55.514124,Okulary BME280,"30.14,75.63,30.85,84.41,31.86,86.64,29.62,43.77",30.14,75.63,30.85,84.41,31.86,86.64,29.62,43.77,true,0
session_20260623_163953_final,19,2129,2026-06-23T16:39:55.608097,Okulary BME280,"30.15,75.61,30.80,84.12,31.77,86.51,29.62,43.77",30.15,75.61,30.80,84.12,31.77,86.51,29.62,43.77,true,0
session_20260623_163953_final,20,2271,2026-06-23T16:39:55.750647,Okulary BME280,"30.14,75.58,30.76,83.58,31.69,86.43,29.62,43.82",30.14,75.58,30.76,83.58,31.69,86.43,29.62,43.82,true,0
session_20260623_163953_final,21,2350,2026-06-23T16:39:55.829746,Okulary BME280,"30.14,75.56,30.71,83.33,31.63,86.38,29.62,43.84",30.14,75.56,30.71,83.33,31.63,86.38,29.62,43.84,true,0
