session_id,sample_index,timestamp_ms,datetime_iso,device_name,raw_payload,raw_pressure,parse_ok
session_20260623_163953_final,0,24,2026-06-23T16:39:53.503306,Pas barometryczny,1078.35,1078.35,true
session_20260623_163953_final,1,114,2026-06-23T16:39:53.592948,Pas barometryczny,1078.94,1078.94,true
session_20260623_163953_final,2,202,2026-06-23T16:39:53.681244,Pas barometryczny,1079.19,1079.19,true
session_20260623_163953_final,3,337,2026-06-23T16:39:53.815902,Pas barometryczny,1079.33,1079.33,true
session_20260623_163953_final,4,429,2026-06-23T16:39:53.908394,Pas barometryczny,1079.05,1079.05,true
session_20260623_163953_final,5,517,2026-06-23T16:39:53.996717,Pas barometryczny,1078.43,1078.43,true
session_20260623_163953_final,6,612,2026-06-23T16:39:54.091418,Pas barometryczny,1077.89,1077.89,true
session_20260623_163953_final,7,745,2026-06-23T16:39:54.224188,Pas barometryczny,1077.53,1077.53,true
session_20260623_163953_final,8,836,2026-06-23T16:39:54.315423,Pas barometryczny,1076.35,1076.35,true
session_20260623_163953_final,9,924,2026-06-23T16:39:54.403,Pas barometryczny,1075.92,1075.92,true
session_20260623_163953_final,10,1018,2026-06-23T16:39:54.497580,Pas barometryczny,1075.98,1075.98,true
session_20260623_163953_final,11,1149,2026-06-23T16:39:54.627931,Pas barometryczny,1075.90,1075.90,true
session_20260623_163953_final,12,1238,2026-06-23T16:39:54.716864,Pas barometryczny,1075.94,1075.94,true
session_20260623_163953_final,13,1327,2026-06-23T16:39:54.806579,Pas barometryczny,1076.00,1076.00,true
session_20260623_163953_final,14,1419,2026-06-23T16:39:54.898062,Pas barometryczny,1076.12,1076.12,true
session_20260623_163953_final,15,1554,2026-06-23T16:39:55.033674,Pas barometryczny,1076.31,1076.31,true
session_20260623_163953_final,16,1644,2026-06-23T16:39:55.123788,Pas barometryczny,1076.57,1076.57,true
session_20260623_163953_final,17,1732,2026-06-23T16:39:55.211572,Pas barometryczny,1077.21,1077.21,true
session_20260623_163953_final,18,1871,2026-06-23T16:39:55.350048,Pas barometryczny,1077.76,1077.76,true
session_20260623_163953_final,19,1970,2026-06-23T16:39:55.448861,Pas barometryczny,1078.29,1078.29,true
session_20260623_163953_final,20,2050,2026-06-23T16:39:55.529720,Pas barometryczny,1078.73,1078.73,true
session_20260623_163953_final,21,2137,2026-06-23T16:39:55.616425,Pas barometryczny,1079.15,1079.15,true
session_20260623_163953_final,22,2272,2026-06-23T16:39:55.751700,Pas barometryczny,1079.56,1079.56,true
session_20260623_163953_final,23,2371,2026-06-23T16:39:55.849898,Pas barometryczny,1079.84,1079.84,true
session_20260623_163953_final,24,2458,2026-06-23T16:39:55.937496,Pas barometryczny,1079.90,1079.90,true
session_20260623_163953_final,25,2545,2026-06-23T16:39:56.024448,Pas barometryczny,1079.33,1079.33,true
session_20260623_163953_final,26,2693,2026-06-23T16:39:56.172151,Pas barometryczny,1078.41,1078.41,true
session_20260623_163953_final,27,2770,2026-06-23T16:39:56.248941,Pas barometryczny,1077.65,1077.65,true
session_20260623_163953_final,28,2857,2026-06-23T16:39:56.336131,Pas barometryczny,1077.20,1077.20,true
session_20260623_163953_final,29,2949,2026-06-23T16:39:56.428115,Pas barometryczny,1077.06,1077.06,true
session_20260623_163953_final,30,3090,2026-06-23T16:39:56.569504,Pas barometryczny,1076.74,1076.74,true
session_20260623_163953_final,31,3172,2026-06-23T16:39:56.651057,Pas barometryczny,1076.52,1076.52,true
session_20260623_163953_final,32,3271,2026-06-23T16:39:56.750689,Pas barometryczny,1076.35,1076.35,true
session_20260623_163953_final,33,3397,2026-06-23T16:39:56.876390,Pas barometryczny,1076.41,1076.41,true
session_20260623_163953_final,34,3490,2026-06-23T16:39:56.969495,Pas barometryczny,1076.85,1076.85,true
session_20260623_163953_final,35,3577,2026-06-23T16:39:57.056132,Pas barometryczny,1077.01,1077.01,true
session_20260623_163953_final,36,3677,2026-06-23T16:39:57.156209,Pas barometryczny,1078.26,1078.26,true
session_20260623_163953_final,37,3808,2026-06-23T16:39:57.287254,Pas barometryczny,1079.71,1079.71,true
session_20260623_163953_final,38,3893,2026-06-23T16:39:57.372519,Pas barometryczny,1080.52,1080.52,true
session_20260623_163953_final,39,3990,2026-06-23T16:39:57.468976,Pas barometryczny,1079.96,1079.96,true
session_20260623_163953_final,40,4077,2026-06-23T16:39:57.556769,Pas barometryczny,1081.42,1081.42,true
session_20260623_163953_final,41,4213,2026-06-23T16:39:57.692562,Pas barometryczny,1081.64,1081.64,true
session_20260623_163953_final,42,4300,2026-06-23T16:39:57.778926,Pas barometryczny,1080.95,1080.95,true
session_20260623_163953_final,43,4397,2026-06-23T16:39:57.875954,Pas barometryczny,1080.67,1080.67,true
session_20260623_163953_final,44,4480,2026-06-23T16:39:57.959138,Pas barometryczny,1080.46,1080.46,true
session_20260623_163953_final,45,4613,2026-06-23T16:39:58.092546,Pas barometryczny,1080.53,1080.53,true
session_20260623_163953_final,46,4703,2026-06-23T16:39:58.182744,Pas barometryczny,1080.65,1080.65,true
session_20260623_163953_final,47,4795,2026-06-23T16:39:58.273939,Pas barometryczny,1080.67,1080.67,true
session_20260623_163953_final,48,4928,2026-06-23T16:39:58.407054,Pas barometryczny,1080.37,1080.37,true
session_20260623_163953_final,49,5032,2026-06-23T16:39:58.510996,Pas barometryczny,1080.33,1080.33,true
session_20260623_163953_final,50,5115,2026-06-23T16:39:58.594399,Pas barometryczny,1080.26,1080.26,true
session_20260623_163953_final,51,5198,2026-06-23T16:39:58.677789,Pas barometryczny,1080.33,1080.33,true
session_20260623_163953_final,52,5334,2026-06-23T16:39:58.812830,Pas barometryczny,1080.42,1080.42,true
session_20260623_163953_final,53,5433,2026-06-23T16:39:58.912804,Pas barometryczny,1079.77,1079.77,true
session_20260623_163953_final,54,5517,2026-06-23T16:39:58.996279,Pas barometryczny,1078.76,1078.76,true
session_20260623_163953_final,55,5604,2026-06-23T16:39:59.083543,Pas barometryczny,1077.99,1077.99,true
session_20260623_163953_final,56,5751,2026-06-23T16:39:59.230227,Pas barometryczny,1077.29,1077.29,true
session_20260623_163953_final,57,5829,2026-06-23T16:39:59.308784,Pas barometryczny,1076.67,1076.67,true
session_20260623_163953_final,58,5918,2026-06-23T16:39:59.397715,Pas barometryczny,1076.34,1076.34,true
session_20260623_163953_final,59,6018,2026-06-23T16:39:59.496836,Pas barometryczny,1076.08,1076.08,true
session_20260623_163953_final,60,6144,2026-06-23T16:39:59.623015,Pas barometryczny,1075.82,1075.82,true
session_20260623_163953_final,61,6233,2026-06-23T16:39:59.712006,Pas barometryczny,1075.55,1075.55,true
