session_id,sample_index,timestamp_ms,datetime_iso,device_name,raw_payload,t0,h0,t1,h1,t2,h2,tAmb,hAmb,parse_ok,nan_count
session_20260624_181854_P001,0,75,2026-06-24T18:18:55.254470,Okulary BME280,"28.88,80.43,31.39,91.35,31.87,94.35,28.56,57.49",28.88,80.43,31.39,91.35,31.87,94.35,28.56,57.49,true,0
session_20260624_181854_P001,1,273,2026-06-24T18:18:55.452388,Okulary BME280,"28.89,80.48,31.41,91.38,31.80,94.19,28.57,57.40",28.89,80.48,31.41,91.38,31.80,94.19,28.57,57.40,true,0
session_20260624_181854_P001,2,336,2026-06-24T18:18:55.514580,Okulary BME280,"28.89,80.53,31.42,91.42,31.77,94.26,28.56,57.38",28.89,80.53,31.42,91.42,31.77,94.26,28.56,57.38,true,0
session_20260624_181854_P001,3,457,2026-06-24T18:18:55.636493,Okulary BME280,"28.91,80.59,31.43,91.50,31.75,94.33,28.56,57.30",28.91,80.59,31.43,91.50,31.75,94.33,28.56,57.30,true,0
session_20260624_181854_P001,4,528,2026-06-24T18:18:55.707031,Okulary BME280,"28.91,80.59,31.48,91.55,31.75,94.32,28.56,57.17",28.91,80.59,31.48,91.55,31.75,94.32,28.56,57.17,true,0
session_20260624_181854_P001,5,698,2026-06-24T18:18:55.877137,Okulary BME280,"28.91,80.56,31.47,91.36,31.75,94.16,28.56,57.08",28.91,80.56,31.47,91.36,31.75,94.16,28.56,57.08,true,0
session_20260624_181854_P001,6,751,2026-06-24T18:18:55.930108,Okulary BME280,"28.91,80.47,31.42,91.14,31.71,93.88,28.55,56.99",28.91,80.47,31.42,91.14,31.71,93.88,28.55,56.99,true,0
session_20260624_181854_P001,7,862,2026-06-24T18:18:56.041461,Okulary BME280,"28.91,80.12,31.35,90.94,31.65,93.59,28.55,56.86",28.91,80.12,31.35,90.94,31.65,93.59,28.55,56.86,true,0
session_20260624_181854_P001,8,1025,2026-06-24T18:18:56.203961,Okulary BME280,"28.88,79.79,31.27,90.72,31.56,93.28,28.54,56.72",28.88,79.79,31.27,90.72,31.56,93.28,28.54,56.72,true,0
session_20260624_181854_P001,9,1084,2026-06-24T18:18:56.263096,Okulary BME280,"28.86,79.51,31.18,90.51,31.46,93.08,28.52,56.51",28.86,79.51,31.18,90.51,31.46,93.08,28.52,56.51,true,0
session_20260624_181854_P001,10,1205,2026-06-24T18:18:56.383660,Okulary BME280,"28.84,79.35,31.10,90.31,31.28,92.88,28.52,56.41",28.84,79.35,31.10,90.31,31.28,92.88,28.52,56.41,true,0
session_20260624_181854_P001,11,1306,2026-06-24T18:18:56.484690,Okulary BME280,"28.83,79.17,31.03,90.10,31.20,92.82,28.51,56.32",28.83,79.17,31.03,90.10,31.20,92.82,28.51,56.32,true,0
session_20260624_181854_P001,12,1391,2026-06-24T18:18:56.570115,Okulary BME280,"28.82,79.03,30.96,89.98,31.15,92.80,28.51,56.24",28.82,79.03,30.96,89.98,31.15,92.80,28.51,56.24,true,0
session_20260624_181854_P001,13,1546,2026-06-24T18:18:56.725096,Okulary BME280,"28.82,78.90,30.87,89.65,31.10,92.80,28.51,56.15",28.82,78.90,30.87,89.65,31.10,92.80,28.51,56.15,true,0
session_20260624_181854_P001,14,1608,2026-06-24T18:18:56.787130,Okulary BME280,"28.81,78.82,30.83,89.50,31.05,92.84,28.50,56.07",28.81,78.82,30.83,89.50,31.05,92.84,28.50,56.07,true,0
session_20260624_181854_P001,15,1775,2026-06-24T18:18:56.953962,Okulary BME280,"28.82,78.90,30.81,89.38,31.02,92.87,28.50,55.99",28.82,78.90,30.81,89.38,31.02,92.87,28.50,55.99,true,0
session_20260624_181854_P001,16,1865,2026-06-24T18:18:57.043833,Okulary BME280,"28.84,78.94,30.80,89.29,30.99,92.88,28.50,56.01",28.84,78.94,30.80,89.29,30.99,92.88,28.50,56.01,true,0
session_20260624_181854_P001,17,2000,2026-06-24T18:18:57.179289,Okulary BME280,"28.85,79.00,30.79,89.22,30.97,92.97,28.51,56.06",28.85,79.00,30.79,89.22,30.97,92.97,28.51,56.06,true,0
session_20260624_181854_P001,18,2057,2026-06-24T18:18:57.236201,Okulary BME280,"28.86,79.06,30.78,89.13,30.95,93.03,28.52,56.14",28.86,79.06,30.78,89.13,30.95,93.03,28.52,56.14,true,0
session_20260624_181854_P001,19,2157,2026-06-24T18:18:57.335771,Okulary BME280,"28.87,79.10,30.78,89.05,30.94,93.11,28.52,56.14",28.87,79.10,30.78,89.05,30.94,93.11,28.52,56.14,true,0
session_20260624_181854_P001,20,2321,2026-06-24T18:18:57.499770,Okulary BME280,"28.88,79.12,30.78,88.98,30.94,93.13,28.53,56.13",28.88,79.12,30.78,88.98,30.94,93.13,28.53,56.13,true,0
session_20260624_181854_P001,21,2396,2026-06-24T18:18:57.574624,Okulary BME280,"28.88,79.12,30.78,88.97,30.95,93.31,28.52,56.12",28.88,79.12,30.78,88.97,30.95,93.31,28.52,56.12,true,0
session_20260624_181854_P001,22,2528,2026-06-24T18:18:57.707138,Okulary BME280,"28.89,79.11,30.84,89.32,30.98,93.84,28.52,56.11",28.89,79.11,30.84,89.32,30.98,93.84,28.52,56.11,true,0
session_20260624_181854_P001,23,2597,2026-06-24T18:18:57.776071,Okulary BME280,"28.89,79.04,30.91,89.60,31.06,94.27,28.52,56.12",28.89,79.04,30.91,89.60,31.06,94.27,28.52,56.12,true,0
session_20260624_181854_P001,24,2732,2026-06-24T18:18:57.911318,Okulary BME280,"28.89,79.00,31.02,89.84,31.20,94.55,28.53,56.11",28.89,79.00,31.02,89.84,31.20,94.55,28.53,56.11,true,0
session_20260624_181854_P001,25,2847,2026-06-24T18:18:58.026288,Okulary BME280,"28.89,78.90,31.13,90.08,31.37,94.73,28.53,56.07",28.89,78.90,31.13,90.08,31.37,94.73,28.53,56.07,true,0
session_20260624_181854_P001,26,2919,2026-06-24T18:18:58.097919,Okulary BME280,"28.88,78.82,31.24,90.33,31.55,94.83,28.53,56.09",28.88,78.82,31.24,90.33,31.55,94.83,28.53,56.09,true,0
session_20260624_181854_P001,27,3067,2026-06-24T18:18:58.246512,Okulary BME280,"28.88,78.76,31.34,90.54,31.83,94.98,28.53,56.00",28.88,78.76,31.34,90.54,31.83,94.98,28.53,56.00,true,0
session_20260624_181854_P001,28,3165,2026-06-24T18:18:58.344494,Okulary BME280,"28.88,78.70,31.42,90.72,31.92,95.02,28.53,55.99",28.88,78.70,31.42,90.72,31.92,95.02,28.53,55.99,true,0
session_20260624_181854_P001,29,3295,2026-06-24T18:18:58.474335,Okulary BME280,"28.88,78.62,31.50,90.85,31.98,95.06,28.53,55.99",28.88,78.62,31.50,90.85,31.98,95.06,28.53,55.99,true,0
session_20260624_181854_P001,30,3362,2026-06-24T18:18:58.540931,Okulary BME280,"28.87,78.52,31.55,91.02,32.04,95.11,28.53,55.97",28.87,78.52,31.55,91.02,32.04,95.11,28.53,55.97,true,0
session_20260624_181854_P001,31,3451,2026-06-24T18:18:58.630454,Okulary BME280,"28.88,78.52,31.63,91.26,32.09,95.13,28.54,56.12",28.88,78.52,31.63,91.26,32.09,95.13,28.54,56.12,true,0
session_20260624_181854_P001,32,3596,2026-06-24T18:18:58.774923,Okulary BME280,"28.87,78.39,31.66,91.35,32.14,95.17,28.54,56.18",28.87,78.39,31.66,91.35,32.14,95.17,28.54,56.18,true,0
session_20260624_181854_P001,33,3688,2026-06-24T18:18:58.867200,Okulary BME280,"28.88,78.29,31.69,91.42,32.18,95.17,28.54,56.21",28.88,78.29,31.69,91.42,32.18,95.17,28.54,56.21,true,0
session_20260624_181854_P001,34,3837,2026-06-24T18:18:59.015698,Okulary BME280,"28.88,78.24,31.70,91.48,32.21,95.09,28.55,56.22",28.88,78.24,31.70,91.48,32.21,95.09,28.55,56.22,true,0
session_20260624_181854_P001,35,3940,2026-06-24T18:18:59.118706,Okulary BME280,"28.88,78.18,31.70,91.50,32.22,95.07,28.55,56.20",28.88,78.18,31.70,91.50,32.22,95.07,28.55,56.20,true,0
session_20260624_181854_P001,36,4064,2026-06-24T18:18:59.242744,Okulary BME280,"28.88,78.13,31.69,91.51,32.18,94.99,28.56,56.05",28.88,78.13,31.69,91.51,32.18,94.99,28.56,56.05,true,0
session_20260624_181854_P001,37,4135,2026-06-24T18:18:59.313856,Okulary BME280,"28.88,78.06,31.67,91.47,32.15,94.95,28.55,55.95",28.88,78.06,31.67,91.47,32.15,94.95,28.55,55.95,true,0
session_20260624_181854_P001,38,4229,2026-06-24T18:18:59.408312,Okulary BME280,"28.88,78.02,31.63,91.35,32.12,94.90,28.55,55.87",28.88,78.02,31.63,91.35,32.12,94.90,28.55,55.87,true,0
session_20260624_181854_P001,39,4384,2026-06-24T18:18:59.562912,Okulary BME280,"28.89,77.96,31.57,91.17,32.09,94.83,28.54,55.76",28.89,77.96,31.57,91.17,32.09,94.83,28.54,55.76,true,0
session_20260624_181854_P001,40,4469,2026-06-24T18:18:59.647571,Okulary BME280,"28.90,77.90,31.38,90.89,32.06,94.76,28.54,55.71",28.90,77.90,31.38,90.89,32.06,94.76,28.54,55.71,true,0
session_20260624_181854_P001,41,4644,2026-06-24T18:18:59.823074,Okulary BME280,"28.89,77.83,31.32,90.85,32.02,94.68,28.54,55.66",28.89,77.83,31.32,90.85,32.02,94.68,28.54,55.66,true,0
session_20260624_181854_P001,42,4687,2026-06-24T18:18:59.865874,Okulary BME280,"28.90,77.81,31.28,90.84,31.98,94.58,28.54,55.62",28.90,77.81,31.28,90.84,31.98,94.58,28.54,55.62,true,0
session_20260624_181854_P001,43,4803,2026-06-24T18:18:59.982293,Okulary BME280,"28.89,77.77,31.27,90.94,31.94,94.70,28.53,55.56",28.89,77.77,31.27,90.94,31.94,94.70,28.53,55.56,true,0
session_20260624_181854_P001,44,4891,2026-06-24T18:19:00.069729,Okulary BME280,"28.90,77.70,31.31,91.07,31.94,94.89,28.54,55.58",28.90,77.70,31.31,91.07,31.94,94.89,28.54,55.58,true,0
session_20260624_181854_P001,45,4990,2026-06-24T18:19:00.168615,Okulary BME280,"28.90,77.61,31.38,91.20,32.05,95.07,28.53,55.54",28.90,77.61,31.38,91.20,32.05,95.07,28.53,55.54,true,0
session_20260624_181854_P001,46,5131,2026-06-24T18:19:00.309888,Okulary BME280,"28.89,77.53,31.45,91.31,32.12,95.03,28.54,55.53",28.89,77.53,31.45,91.31,32.12,95.03,28.54,55.53,true,0
session_20260624_181854_P001,47,5212,2026-06-24T18:19:00.391546,Okulary BME280,"28.90,77.43,31.52,91.35,32.16,94.83,28.54,55.52",28.90,77.43,31.52,91.35,32.16,94.83,28.54,55.52,true,0
session_20260624_181854_P001,48,5369,2026-06-24T18:19:00.547788,Okulary BME280,"28.89,77.37,31.54,90.92,32.11,94.44,28.54,55.49",28.89,77.37,31.54,90.92,32.11,94.44,28.54,55.49,true,0
session_20260624_181854_P001,49,5436,2026-06-24T18:19:00.614769,Okulary BME280,"28.89,77.22,31.41,90.63,32.02,94.08,28.54,55.47",28.89,77.22,31.41,90.63,32.02,94.08,28.54,55.47,true,0
session_20260624_181854_P001,50,5590,2026-06-24T18:19:00.768591,Okulary BME280,"28.89,77.28,31.29,90.38,31.89,93.79,28.54,55.50",28.89,77.28,31.29,90.38,31.89,93.79,28.54,55.50,true,0
session_20260624_181854_P001,51,5656,2026-06-24T18:19:00.834665,Okulary BME280,"28.90,77.42,31.17,90.13,31.76,93.47,28.54,55.51",28.90,77.42,31.17,90.13,31.76,93.47,28.54,55.51,true,0
session_20260624_181854_P001,52,5761,2026-06-24T18:19:00.940398,Okulary BME280,"28.91,77.56,31.06,89.89,31.62,93.28,28.55,55.45",28.91,77.56,31.06,89.89,31.62,93.28,28.55,55.45,true,0
session_20260624_181854_P001,53,5894,2026-06-24T18:19:01.072595,Okulary BME280,"28.93,77.64,30.95,89.68,31.39,93.10,28.54,55.45",28.93,77.64,30.95,89.68,31.39,93.10,28.54,55.45,true,0
session_20260624_181854_P001,54,5973,2026-06-24T18:19:01.151683,Okulary BME280,"28.94,77.65,30.88,89.49,31.31,93.09,28.55,55.37",28.94,77.65,30.88,89.49,31.31,93.09,28.55,55.37,true,0
session_20260624_181854_P001,55,6106,2026-06-24T18:19:01.285134,Okulary BME280,"28.95,77.66,30.81,89.33,31.24,93.12,28.55,55.32",28.95,77.66,30.81,89.33,31.24,93.12,28.55,55.32,true,0
session_20260624_181854_P001,56,6199,2026-06-24T18:19:01.377897,Okulary BME280,"28.95,77.59,30.76,89.15,31.20,93.14,28.55,55.30",28.95,77.59,30.76,89.15,31.20,93.14,28.55,55.30,true,0
session_20260624_181854_P001,57,6297,2026-06-24T18:19:01.475784,Okulary BME280,"28.94,77.62,30.71,88.85,31.16,93.12,28.55,55.27",28.94,77.62,30.71,88.85,31.16,93.12,28.55,55.27,true,0
session_20260624_181854_P001,58,6438,2026-06-24T18:19:01.617141,Okulary BME280,"28.92,77.39,30.69,88.73,31.13,93.11,28.54,55.28",28.92,77.39,30.69,88.73,31.13,93.11,28.54,55.28,true,0
session_20260624_181854_P001,59,6525,2026-06-24T18:19:01.703684,Okulary BME280,"28.92,77.32,30.68,88.63,31.10,93.12,28.55,55.33",28.92,77.32,30.68,88.63,31.10,93.12,28.55,55.33,true,0
session_20260624_181854_P001,60,6688,2026-06-24T18:19:01.867314,Okulary BME280,"28.92,77.26,30.67,88.52,31.07,93.12,28.55,55.46",28.92,77.26,30.67,88.52,31.07,93.12,28.55,55.46,true,0
session_20260624_181854_P001,61,6736,2026-06-24T18:19:01.914698,Okulary BME280,"28.92,77.19,30.66,88.43,31.06,93.14,28.55,55.45",28.92,77.19,30.66,88.43,31.06,93.14,28.55,55.45,true,0
session_20260624_181854_P001,62,6874,2026-06-24T18:19:02.052830,Okulary BME280,"28.92,77.11,30.65,88.33,31.02,93.15,28.55,55.43",28.92,77.11,30.65,88.33,31.02,93.15,28.55,55.43,true,0
session_20260624_181854_P001,63,6990,2026-06-24T18:19:02.169383,Okulary BME280,"28.92,77.01,30.65,88.21,31.01,93.16,28.55,55.42",28.92,77.01,30.65,88.21,31.01,93.16,28.55,55.42,true,0
session_20260624_181854_P001,64,7061,2026-06-24T18:19:02.240455,Okulary BME280,"28.92,76.92,30.64,88.11,30.99,93.18,28.55,55.41",28.92,76.92,30.64,88.11,30.99,93.18,28.55,55.41,true,0
session_20260624_181854_P001,65,7188,2026-06-24T18:19:02.367528,Okulary BME280,"28.92,76.83,30.63,87.99,30.97,93.16,28.56,55.39",28.92,76.83,30.63,87.99,30.97,93.16,28.56,55.39,true,0
session_20260624_181854_P001,66,7277,2026-06-24T18:19:02.456087,Okulary BME280,"28.91,76.75,30.63,87.95,30.95,93.17,28.55,55.39",28.91,76.75,30.63,87.95,30.95,93.17,28.55,55.39,true,0
session_20260624_181854_P001,67,7443,2026-06-24T18:19:02.622421,Okulary BME280,"28.92,76.72,30.65,88.12,30.94,93.45,28.56,55.35",28.92,76.72,30.65,88.12,30.94,93.45,28.56,55.35,true,0
