session_id,sample_index,timestamp_ms,datetime_iso,device_name,raw_payload,raw_pressure,parse_ok
session_20260624_181854_P001,0,133,2026-06-24T18:18:55.312074,Pas barometryczny,1082.30,1082.30,true
session_20260624_181854_P001,1,274,2026-06-24T18:18:55.453090,Pas barometryczny,1082.20,1082.20,true
session_20260624_181854_P001,2,336,2026-06-24T18:18:55.515265,Pas barometryczny,1082.44,1082.44,true
session_20260624_181854_P001,3,406,2026-06-24T18:18:55.584752,Pas barometryczny,1082.53,1082.53,true
session_20260624_181854_P001,4,540,2026-06-24T18:18:55.718629,Pas barometryczny,1083.14,1083.14,true
session_20260624_181854_P001,5,646,2026-06-24T18:18:55.825229,Pas barometryczny,1083.40,1083.40,true
session_20260624_181854_P001,6,746,2026-06-24T18:18:55.925453,Pas barometryczny,1084.44,1084.44,true
session_20260624_181854_P001,7,821,2026-06-24T18:18:55.999873,Pas barometryczny,1084.67,1084.67,true
session_20260624_181854_P001,8,958,2026-06-24T18:18:56.137540,Pas barometryczny,1084.88,1084.88,true
session_20260624_181854_P001,9,1034,2026-06-24T18:18:56.212853,Pas barometryczny,1085.21,1085.21,true
session_20260624_181854_P001,10,1125,2026-06-24T18:18:56.303989,Pas barometryczny,1085.34,1085.34,true
session_20260624_181854_P001,11,1273,2026-06-24T18:18:56.452319,Pas barometryczny,1085.55,1085.55,true
session_20260624_181854_P001,12,1353,2026-06-24T18:18:56.532331,Pas barometryczny,1085.75,1085.75,true
session_20260624_181854_P001,13,1456,2026-06-24T18:18:56.635273,Pas barometryczny,1086.09,1086.09,true
session_20260624_181854_P001,14,1547,2026-06-24T18:18:56.725870,Pas barometryczny,1086.45,1086.45,true
session_20260624_181854_P001,15,1712,2026-06-24T18:18:56.890992,Pas barometryczny,1086.89,1086.89,true
session_20260624_181854_P001,16,1776,2026-06-24T18:18:56.954645,Pas barometryczny,1087.35,1087.35,true
session_20260624_181854_P001,17,1865,2026-06-24T18:18:57.044451,Pas barometryczny,1087.72,1087.72,true
session_20260624_181854_P001,18,1958,2026-06-24T18:18:57.137197,Pas barometryczny,1087.30,1087.30,true
session_20260624_181854_P001,19,2094,2026-06-24T18:18:57.272607,Pas barometryczny,1087.19,1087.19,true
session_20260624_181854_P001,20,2160,2026-06-24T18:18:57.339560,Pas barometryczny,1087.61,1087.61,true
session_20260624_181854_P001,21,2266,2026-06-24T18:18:57.445105,Pas barometryczny,1087.55,1087.55,true
session_20260624_181854_P001,22,2361,2026-06-24T18:18:57.540406,Pas barometryczny,1087.45,1087.45,true
session_20260624_181854_P001,23,2477,2026-06-24T18:18:57.656540,Pas barometryczny,1086.99,1086.99,true
session_20260624_181854_P001,24,2591,2026-06-24T18:18:57.769815,Pas barometryczny,1086.27,1086.27,true
session_20260624_181854_P001,25,2691,2026-06-24T18:18:57.870497,Pas barometryczny,1086.08,1086.08,true
session_20260624_181854_P001,26,2790,2026-06-24T18:18:57.968628,Pas barometryczny,1085.35,1085.35,true
session_20260624_181854_P001,27,2917,2026-06-24T18:18:58.096512,Pas barometryczny,1084.95,1084.95,true
session_20260624_181854_P001,28,2970,2026-06-24T18:18:58.148637,Pas barometryczny,1084.66,1084.66,true
session_20260624_181854_P001,29,3068,2026-06-24T18:18:58.247128,Pas barometryczny,1084.62,1084.62,true
session_20260624_181854_P001,30,3231,2026-06-24T18:18:58.410279,Pas barometryczny,1084.38,1084.38,true
session_20260624_181854_P001,31,3296,2026-06-24T18:18:58.474970,Pas barometryczny,1084.52,1084.52,true
session_20260624_181854_P001,32,3409,2026-06-24T18:18:58.588142,Pas barometryczny,1084.67,1084.67,true
session_20260624_181854_P001,33,3465,2026-06-24T18:18:58.644002,Pas barometryczny,1084.06,1084.06,true
session_20260624_181854_P001,34,3599,2026-06-24T18:18:58.778079,Pas barometryczny,1084.33,1084.33,true
session_20260624_181854_P001,35,3692,2026-06-24T18:18:58.871288,Pas barometryczny,1084.55,1084.55,true
session_20260624_181854_P001,36,3794,2026-06-24T18:18:58.973518,Pas barometryczny,1084.78,1084.78,true
session_20260624_181854_P001,37,3887,2026-06-24T18:18:59.065907,Pas barometryczny,1084.53,1084.53,true
session_20260624_181854_P001,38,4006,2026-06-24T18:18:59.185323,Pas barometryczny,1084.50,1084.50,true
session_20260624_181854_P001,39,4100,2026-06-24T18:18:59.279024,Pas barometryczny,1084.95,1084.95,true
session_20260624_181854_P001,40,4186,2026-06-24T18:18:59.364866,Pas barometryczny,1084.77,1084.77,true
session_20260624_181854_P001,41,4326,2026-06-24T18:18:59.504992,Pas barometryczny,1083.68,1083.68,true
session_20260624_181854_P001,42,4421,2026-06-24T18:18:59.600183,Pas barometryczny,1083.84,1083.84,true
session_20260624_181854_P001,43,4527,2026-06-24T18:18:59.706143,Pas barometryczny,1083.32,1083.32,true
session_20260624_181854_P001,44,4594,2026-06-24T18:18:59.773029,Pas barometryczny,1083.22,1083.22,true
session_20260624_181854_P001,45,4744,2026-06-24T18:18:59.922940,Pas barometryczny,1083.06,1083.06,true
session_20260624_181854_P001,46,4850,2026-06-24T18:19:00.028948,Pas barometryczny,1083.62,1083.62,true
session_20260624_181854_P001,47,4941,2026-06-24T18:19:00.120248,Pas barometryczny,1083.65,1083.65,true
session_20260624_181854_P001,48,4996,2026-06-24T18:19:00.174624,Pas barometryczny,1083.12,1083.12,true
