session_id,sample_index,timestamp_ms,datetime_iso,device_name,raw_payload,t0,h0,t1,h1,t2,h2,tAmb,hAmb,parse_ok,nan_count
session_20260625_195259_P001,0,43,2026-06-25T19:52:59.488015,Okulary BME280,"33.53,74.81,32.19,86.14,33.35,81.16,30.77,52.19",33.53,74.81,32.19,86.14,33.35,81.16,30.77,52.19,true,0
session_20260625_195259_P001,1,99,2026-06-25T19:52:59.544295,Okulary BME280,"33.53,74.77,32.10,85.86,33.32,80.98,30.77,52.20",33.53,74.77,32.10,85.86,33.32,80.98,30.77,52.20,true,0
session_20260625_195259_P001,2,237,2026-06-25T19:52:59.681892,Okulary BME280,"33.53,74.78,32.03,85.60,33.31,80.74,30.77,52.21",33.53,74.78,32.03,85.60,33.31,80.74,30.77,52.21,true,0
session_20260625_195259_P001,3,324,2026-06-25T19:52:59.769022,Okulary BME280,"33.53,74.79,31.93,85.07,33.29,80.53,30.77,52.24",33.53,74.79,31.93,85.07,33.29,80.53,30.77,52.24,true,0
session_20260625_195259_P001,4,424,2026-06-25T19:52:59.869272,Okulary BME280,"33.54,74.79,31.89,84.86,33.28,80.36,30.77,52.30",33.54,74.79,31.89,84.86,33.28,80.36,30.77,52.30,true,0
session_20260625_195259_P001,5,550,2026-06-25T19:52:59.995262,Okulary BME280,"33.54,74.81,31.87,84.79,33.27,80.30,30.77,52.31",33.54,74.81,31.87,84.79,33.27,80.30,30.77,52.31,true,0
session_20260625_195259_P001,6,638,2026-06-25T19:53:00.083526,Okulary BME280,"33.55,74.81,31.87,84.88,33.27,80.47,30.77,52.31",33.55,74.81,31.87,84.88,33.27,80.47,30.77,52.31,true,0
session_20260625_195259_P001,7,784,2026-06-25T19:53:00.229267,Okulary BME280,"33.55,74.82,31.91,85.05,33.30,80.61,30.77,52.32",33.55,74.82,31.91,85.05,33.30,80.61,30.77,52.32,true,0
session_20260625_195259_P001,8,882,2026-06-25T19:53:00.327041,Okulary BME280,"33.55,74.83,31.97,85.07,33.33,80.67,30.77,52.32",33.55,74.83,31.97,85.07,33.33,80.67,30.77,52.32,true,0
session_20260625_195259_P001,9,1019,2026-06-25T19:53:00.464042,Okulary BME280,"33.55,74.76,32.00,84.93,33.35,80.74,30.77,52.31",33.55,74.76,32.00,84.93,33.35,80.74,30.77,52.31,true,0
session_20260625_195259_P001,10,1089,2026-06-25T19:53:00.534149,Okulary BME280,"33.55,74.81,32.00,84.74,33.37,80.67,30.77,52.29",33.55,74.81,32.00,84.74,33.37,80.67,30.77,52.29,true,0
session_20260625_195259_P001,11,1207,2026-06-25T19:53:00.652410,Okulary BME280,"33.55,74.86,31.97,84.51,33.38,80.49,30.77,52.25",33.55,74.86,31.97,84.51,33.38,80.49,30.77,52.25,true,0
session_20260625_195259_P001,12,1315,2026-06-25T19:53:00.760493,Okulary BME280,"33.55,74.87,31.90,84.05,33.37,80.31,30.77,52.23",33.55,74.87,31.90,84.05,33.37,80.31,30.77,52.23,true,0
session_20260625_195259_P001,13,1408,2026-06-25T19:53:00.853342,Okulary BME280,"33.55,74.87,31.87,83.84,33.36,80.13,30.77,52.16",33.55,74.87,31.87,83.84,33.36,80.13,30.77,52.16,true,0
