session_id,sample_index,timestamp_ms,datetime_iso,device_name,raw_payload,t0,h0,t1,h1,t2,h2,tAmb,hAmb,parse_ok,nan_count
session_20260821_142610_P001,0,1,2026-08-21T14:26:10.942946,Okulary BME280,"32.84,64.36,29.69,81.20,29.55,78.99,29.48,43.39",32.84,64.36,29.69,81.20,29.55,78.99,29.48,43.39,true,0
session_20260821_142610_P001,1,89,2026-08-21T14:26:11.030895,Okulary BME280,"32.84,64.35,29.67,80.68,29.52,78.75,29.49,43.41",32.84,64.35,29.67,80.68,29.52,78.75,29.49,43.41,true,0
session_20260821_142610_P001,2,231,2026-08-21T14:26:11.172547,Okulary BME280,"32.84,64.35,29.66,80.44,29.50,78.68,29.48,43.42",32.84,64.35,29.66,80.44,29.50,78.68,29.48,43.42,true,0
session_20260821_142610_P001,3,317,2026-08-21T14:26:11.258910,Okulary BME280,"32.84,64.34,29.66,80.23,29.52,78.57,29.49,43.43",32.84,64.34,29.66,80.23,29.52,78.57,29.49,43.43,true,0
session_20260821_142610_P001,4,455,2026-08-21T14:26:11.396353,Okulary BME280,"32.84,64.31,29.67,80.04,29.59,78.55,29.49,43.44",32.84,64.31,29.67,80.04,29.59,78.55,29.49,43.44,true,0
session_20260821_142610_P001,5,555,2026-08-21T14:26:11.496445,Okulary BME280,"32.84,64.31,29.68,79.88,29.63,78.55,29.49,43.45",32.84,64.31,29.68,79.88,29.63,78.55,29.49,43.45,true,0
session_20260821_142610_P001,6,635,2026-08-21T14:26:11.576438,Okulary BME280,"32.84,64.29,29.69,79.73,29.67,78.55,29.49,43.49",32.84,64.29,29.69,79.73,29.67,78.55,29.49,43.49,true,0
session_20260821_142610_P001,7,766,2026-08-21T14:26:11.708122,Okulary BME280,"32.84,64.26,29.70,79.61,29.71,78.58,29.49,43.51",32.84,64.26,29.70,79.61,29.71,78.58,29.49,43.51,true,0
session_20260821_142610_P001,8,857,2026-08-21T14:26:11.798259,Okulary BME280,"32.84,64.30,29.71,79.46,29.74,78.60,29.49,43.52",32.84,64.30,29.71,79.46,29.74,78.60,29.49,43.52,true,0
session_20260821_142610_P001,9,993,2026-08-21T14:26:11.934234,Okulary BME280,"32.84,64.29,29.71,79.38,29.77,78.61,29.50,43.54",32.84,64.29,29.71,79.38,29.77,78.61,29.50,43.54,true,0
session_20260821_142610_P001,10,1082,2026-08-21T14:26:12.023728,Okulary BME280,"32.84,64.29,29.73,79.24,29.80,78.63,29.50,43.57",32.84,64.29,29.73,79.24,29.80,78.63,29.50,43.57,true,0
session_20260821_142610_P001,11,1232,2026-08-21T14:26:12.173341,Okulary BME280,"32.83,64.29,29.74,79.17,29.83,78.66,29.50,43.58",32.83,64.29,29.74,79.17,29.83,78.66,29.50,43.58,true,0
session_20260821_142610_P001,12,1310,2026-08-21T14:26:12.252027,Okulary BME280,"32.84,64.29,29.74,79.11,29.85,78.71,29.50,43.60",32.84,64.29,29.74,79.11,29.85,78.71,29.50,43.60,true,0
session_20260821_142610_P001,13,1404,2026-08-21T14:26:12.345686,Okulary BME280,"32.84,64.29,29.76,79.08,29.88,78.71,29.50,43.63",32.84,64.29,29.76,79.08,29.88,78.71,29.50,43.63,true,0
session_20260821_142610_P001,14,1549,2026-08-21T14:26:12.490740,Okulary BME280,"32.84,64.28,29.76,79.17,29.89,78.89,29.50,43.60",32.84,64.28,29.76,79.17,29.89,78.89,29.50,43.60,true,0
session_20260821_142610_P001,15,1643,2026-08-21T14:26:12.585099,Okulary BME280,"32.84,64.28,29.77,79.28,29.92,79.04,29.51,43.64",32.84,64.28,29.77,79.28,29.92,79.04,29.51,43.64,true,0
session_20260821_142610_P001,16,1755,2026-08-21T14:26:12.696486,Okulary BME280,"32.84,64.24,29.78,79.42,29.95,79.40,29.50,43.63",32.84,64.24,29.78,79.42,29.95,79.40,29.50,43.63,true,0
session_20260821_142610_P001,17,1848,2026-08-21T14:26:12.789339,Okulary BME280,"32.84,64.28,29.79,79.64,29.99,79.88,29.51,43.63",32.84,64.28,29.79,79.64,29.99,79.88,29.51,43.63,true,0
session_20260821_142610_P001,18,1982,2026-08-21T14:26:12.923772,Okulary BME280,"32.84,64.29,29.83,80.18,30.11,80.31,29.51,43.60",32.84,64.29,29.83,80.18,30.11,80.31,29.51,43.60,true,0
session_20260821_142610_P001,19,2075,2026-08-21T14:26:13.016277,Okulary BME280,"32.84,64.31,29.87,80.46,30.26,80.67,29.51,43.59",32.84,64.31,29.87,80.46,30.26,80.67,29.51,43.59,true,0
session_20260821_142610_P001,20,2164,2026-08-21T14:26:13.105591,Okulary BME280,"32.84,64.35,29.89,80.72,30.39,80.95,29.51,43.56",32.84,64.35,29.89,80.72,30.39,80.95,29.51,43.56,true,0
session_20260821_142610_P001,21,2296,2026-08-21T14:26:13.238037,Okulary BME280,"32.84,64.38,29.91,80.96,30.61,81.28,29.50,43.52",32.84,64.38,29.91,80.96,30.61,81.28,29.50,43.52,true,0
session_20260821_142610_P001,22,2403,2026-08-21T14:26:13.344559,Okulary BME280,"32.84,64.40,29.91,81.19,30.68,81.39,29.51,43.49",32.84,64.40,29.91,81.19,30.68,81.39,29.51,43.49,true,0
session_20260821_142610_P001,23,2522,2026-08-21T14:26:13.463748,Okulary BME280,"32.84,64.44,29.92,81.43,30.73,81.50,29.50,43.45",32.84,64.44,29.92,81.43,30.73,81.50,29.50,43.45,true,0
session_20260821_142610_P001,24,2628,2026-08-21T14:26:13.569973,Okulary BME280,"32.84,64.44,29.93,81.65,30.78,81.56,29.50,43.40",32.84,64.44,29.93,81.65,30.78,81.56,29.50,43.40,true,0
session_20260821_142610_P001,25,2702,2026-08-21T14:26:13.643839,Okulary BME280,"32.85,64.51,29.93,81.88,30.80,81.60,29.50,43.36",32.85,64.51,29.93,81.88,30.80,81.60,29.50,43.36,true,0
session_20260821_142610_P001,26,2845,2026-08-21T14:26:13.786960,Okulary BME280,"32.84,64.54,29.93,82.06,30.81,81.63,29.50,43.34",32.84,64.54,29.93,82.06,30.81,81.63,29.50,43.34,true,0
session_20260821_142610_P001,27,2946,2026-08-21T14:26:13.887314,Okulary BME280,"32.85,64.56,29.91,82.34,30.79,81.62,29.50,43.30",32.85,64.56,29.91,82.34,30.79,81.62,29.50,43.30,true,0
session_20260821_142610_P001,28,3060,2026-08-21T14:26:14.001909,Okulary BME280,"32.85,64.58,29.91,82.36,30.76,81.40,29.51,43.28",32.85,64.58,29.91,82.36,30.76,81.40,29.51,43.28,true,0
session_20260821_142610_P001,29,3182,2026-08-21T14:26:14.123594,Okulary BME280,"32.85,64.58,29.89,82.29,30.66,80.95,29.51,43.24",32.85,64.58,29.89,82.29,30.66,80.95,29.51,43.24,true,0
session_20260821_142610_P001,30,3286,2026-08-21T14:26:14.227238,Okulary BME280,"32.84,64.60,29.87,82.12,30.24,80.10,29.50,43.22",32.84,64.60,29.87,82.12,30.24,80.10,29.50,43.22,true,0
session_20260821_142610_P001,31,3376,2026-08-21T14:26:14.317798,Okulary BME280,"32.84,64.61,29.82,81.92,30.03,79.75,29.51,43.19",32.84,64.61,29.82,81.92,30.03,79.75,29.51,43.19,true,0
session_20260821_142610_P001,32,3472,2026-08-21T14:26:14.413731,Okulary BME280,"32.84,64.61,29.79,81.69,29.89,79.39,29.50,43.17",32.84,64.61,29.79,81.69,29.89,79.39,29.50,43.17,true,0
session_20260821_142610_P001,33,3602,2026-08-21T14:26:14.543569,Okulary BME280,"32.84,64.64,29.76,81.45,29.77,79.04,29.50,43.10",32.84,64.64,29.76,81.45,29.77,79.04,29.50,43.10,true,0
session_20260821_142610_P001,34,3692,2026-08-21T14:26:14.633431,Okulary BME280,"32.85,64.64,29.73,81.22,29.69,78.70,29.50,43.07",32.85,64.64,29.73,81.22,29.69,78.70,29.50,43.07,true,0
session_20260821_142610_P001,35,3856,2026-08-21T14:26:14.798119,Okulary BME280,"32.84,64.64,29.72,80.95,29.64,78.40,29.50,43.04",32.84,64.64,29.72,80.95,29.64,78.40,29.50,43.04,true,0
session_20260821_142610_P001,36,3926,2026-08-21T14:26:14.867825,Okulary BME280,"32.85,64.65,29.70,80.38,29.60,78.06,29.50,43.00",32.85,64.65,29.70,80.38,29.60,78.06,29.50,43.00,true,0
session_20260821_142610_P001,37,4062,2026-08-21T14:26:15.003558,Okulary BME280,"32.85,64.65,29.69,80.12,29.58,77.80,29.50,42.94",32.85,64.65,29.69,80.12,29.58,77.80,29.50,42.94,true,0
session_20260821_142610_P001,38,4157,2026-08-21T14:26:15.098878,Okulary BME280,"32.85,64.65,29.68,79.86,29.58,77.58,29.49,42.89",32.85,64.65,29.68,79.86,29.58,77.58,29.49,42.89,true,0
session_20260821_142610_P001,39,4247,2026-08-21T14:26:15.188246,Okulary BME280,"32.85,64.65,29.68,79.62,29.60,77.33,29.48,42.86",32.85,64.65,29.68,79.62,29.60,77.33,29.48,42.86,true,0
session_20260821_142610_P001,40,4370,2026-08-21T14:26:15.311821,Okulary BME280,"32.85,64.65,29.68,79.40,29.63,77.24,29.48,42.83",32.85,64.65,29.68,79.40,29.63,77.24,29.48,42.83,true,0
session_20260821_142610_P001,41,4463,2026-08-21T14:26:15.404398,Okulary BME280,"32.85,64.70,29.69,79.20,29.66,77.13,29.47,42.79",32.85,64.70,29.69,79.20,29.66,77.13,29.47,42.79,true,0
session_20260821_142610_P001,42,4590,2026-08-21T14:26:15.531881,Okulary BME280,"32.85,64.64,29.69,79.00,29.69,77.02,29.46,42.69",32.85,64.64,29.69,79.00,29.69,77.02,29.46,42.69,true,0
session_20260821_142610_P001,43,4713,2026-08-21T14:26:15.654440,Okulary BME280,"32.85,64.66,29.70,78.91,29.72,77.52,29.46,42.68",32.85,64.66,29.70,78.91,29.72,77.52,29.46,42.68,true,0
session_20260821_142610_P001,44,4822,2026-08-21T14:26:15.763240,Okulary BME280,"32.85,64.66,29.71,79.30,29.80,78.27,29.45,42.67",32.85,64.66,29.71,79.30,29.80,78.27,29.45,42.67,true,0
session_20260821_142610_P001,45,4940,2026-08-21T14:26:15.881980,Okulary BME280,"32.86,64.67,29.79,79.59,29.96,78.95,29.44,42.67",32.86,64.67,29.79,79.59,29.96,78.95,29.44,42.67,true,0
session_20260821_142610_P001,46,4996,2026-08-21T14:26:15.937289,Okulary BME280,"32.85,64.71,29.82,79.89,30.16,79.47,29.44,42.67",32.85,64.71,29.82,79.89,30.16,79.47,29.44,42.67,true,0
session_20260821_142610_P001,47,5202,2026-08-21T14:26:16.143736,Okulary BME280,"32.86,64.74,29.86,80.17,30.52,80.27,29.44,42.67",32.86,64.74,29.86,80.17,30.52,80.27,29.44,42.67,true,0
session_20260821_142610_P001,48,5251,2026-08-21T14:26:16.192267,Okulary BME280,"32.86,64.79,29.89,80.47,30.65,80.57,29.44,42.67",32.86,64.79,29.89,80.47,30.65,80.57,29.44,42.67,true,0
session_20260821_142610_P001,49,5358,2026-08-21T14:26:16.300163,Okulary BME280,"32.86,64.77,29.92,80.75,30.76,80.71,29.44,42.68",32.86,64.77,29.92,80.75,30.76,80.71,29.44,42.68,true,0
session_20260821_142610_P001,50,5447,2026-08-21T14:26:16.389010,Okulary BME280,"32.86,64.83,29.94,80.98,30.81,80.82,29.44,42.63",32.86,64.83,29.94,80.98,30.81,80.82,29.44,42.63,true,0
session_20260821_142610_P001,51,5540,2026-08-21T14:26:16.481281,Okulary BME280,"32.86,64.93,29.95,81.27,30.83,80.98,29.45,42.65",32.86,64.93,29.95,81.27,30.83,80.98,29.45,42.65,true,0
session_20260821_142610_P001,52,5674,2026-08-21T14:26:16.615401,Okulary BME280,"32.87,64.97,29.95,81.46,30.84,81.19,29.45,42.65",32.87,64.97,29.95,81.46,30.84,81.19,29.45,42.65,true,0
session_20260821_142610_P001,53,5761,2026-08-21T14:26:16.703120,Okulary BME280,"32.87,65.00,29.97,81.94,30.86,81.35,29.45,42.65",32.87,65.00,29.97,81.94,30.86,81.35,29.45,42.65,true,0
