session_id,sample_index,timestamp_ms,datetime_iso,device_name,raw_payload,raw_hx711,parse_ok
session_20260821_142610_P001,0,46,2026-08-21T14:26:10.987822,Pas tensometryczny,-5169121,-5169121,true
session_20260821_142610_P001,1,138,2026-08-21T14:26:11.079883,Pas tensometryczny,-5169052,-5169052,true
session_20260821_142610_P001,2,195,2026-08-21T14:26:11.136833,Pas tensometryczny,-5169176,-5169176,true
session_20260821_142610_P001,3,353,2026-08-21T14:26:11.294415,Pas tensometryczny,-5169209,-5169209,true
session_20260821_142610_P001,4,403,2026-08-21T14:26:11.345103,Pas tensometryczny,-5169075,-5169075,true
session_20260821_142610_P001,5,511,2026-08-21T14:26:11.452751,Pas tensometryczny,-5168945,-5168945,true
session_20260821_142610_P001,6,685,2026-08-21T14:26:11.626930,Pas tensometryczny,-5168867,-5168867,true
session_20260821_142610_P001,7,716,2026-08-21T14:26:11.657251,Pas tensometryczny,-5168800,-5168800,true
session_20260821_142610_P001,8,813,2026-08-21T14:26:11.754229,Pas tensometryczny,-5168774,-5168774,true
session_20260821_142610_P001,9,916,2026-08-21T14:26:11.857808,Pas tensometryczny,-5168788,-5168788,true
session_20260821_142610_P001,10,1052,2026-08-21T14:26:11.993911,Pas tensometryczny,-5168770,-5168770,true
session_20260821_142610_P001,11,1118,2026-08-21T14:26:12.059437,Pas tensometryczny,-5168482,-5168482,true
session_20260821_142610_P001,12,1187,2026-08-21T14:26:12.128857,Pas tensometryczny,-5168448,-5168448,true
session_20260821_142610_P001,13,1363,2026-08-21T14:26:12.304488,Pas tensometryczny,-5169038,-5169038,true
session_20260821_142610_P001,14,1437,2026-08-21T14:26:12.378694,Pas tensometryczny,-5169701,-5169701,true
session_20260821_142610_P001,15,1501,2026-08-21T14:26:12.442517,Pas tensometryczny,-5170062,-5170062,true
session_20260821_142610_P001,16,1592,2026-08-21T14:26:12.533645,Pas tensometryczny,-5170231,-5170231,true
session_20260821_142610_P001,17,1696,2026-08-21T14:26:12.637568,Pas tensometryczny,-5170399,-5170399,true
session_20260821_142610_P001,18,1894,2026-08-21T14:26:12.835833,Pas tensometryczny,-5170466,-5170466,true
session_20260821_142610_P001,19,1907,2026-08-21T14:26:12.848525,Pas tensometryczny,-5170619,-5170619,true
session_20260821_142610_P001,20,2032,2026-08-21T14:26:12.973549,Pas tensometryczny,-5170966,-5170966,true
session_20260821_142610_P001,21,2086,2026-08-21T14:26:13.027546,Pas tensometryczny,-5171338,-5171338,true
session_20260821_142610_P001,22,2223,2026-08-21T14:26:13.164593,Pas tensometryczny,-5171674,-5171674,true
session_20260821_142610_P001,23,2344,2026-08-21T14:26:13.285529,Pas tensometryczny,-5172029,-5172029,true
session_20260821_142610_P001,24,2450,2026-08-21T14:26:13.392084,Pas tensometryczny,-5172436,-5172436,true
session_20260821_142610_P001,25,2490,2026-08-21T14:26:13.432099,Pas tensometryczny,-5172898,-5172898,true
session_20260821_142610_P001,26,2583,2026-08-21T14:26:13.524589,Pas tensometryczny,-5173214,-5173214,true
session_20260821_142610_P001,27,2745,2026-08-21T14:26:13.686482,Pas tensometryczny,-5173109,-5173109,true
session_20260821_142610_P001,28,2806,2026-08-21T14:26:13.747618,Pas tensometryczny,-5173126,-5173126,true
session_20260821_142610_P001,29,2897,2026-08-21T14:26:13.838454,Pas tensometryczny,-5173274,-5173274,true
session_20260821_142610_P001,30,2994,2026-08-21T14:26:13.935581,Pas tensometryczny,-5173569,-5173569,true
session_20260821_142610_P001,31,3122,2026-08-21T14:26:14.063856,Pas tensometryczny,-5173640,-5173640,true
session_20260821_142610_P001,32,3234,2026-08-21T14:26:14.176045,Pas tensometryczny,-5173248,-5173248,true
session_20260821_142610_P001,33,3325,2026-08-21T14:26:14.267200,Pas tensometryczny,-5172756,-5172756,true
session_20260821_142610_P001,34,3411,2026-08-21T14:26:14.352450,Pas tensometryczny,-5172432,-5172432,true
session_20260821_142610_P001,35,3528,2026-08-21T14:26:14.469551,Pas tensometryczny,-5172635,-5172635,true
session_20260821_142610_P001,36,3660,2026-08-21T14:26:14.601906,Pas tensometryczny,-5173164,-5173164,true
session_20260821_142610_P001,37,3725,2026-08-21T14:26:14.666391,Pas tensometryczny,-5173338,-5173338,true
session_20260821_142610_P001,38,3800,2026-08-21T14:26:14.741350,Pas tensometryczny,-5173373,-5173373,true
session_20260821_142610_P001,39,3895,2026-08-21T14:26:14.836611,Pas tensometryczny,-5173216,-5173216,true
session_20260821_142610_P001,40,4061,2026-08-21T14:26:15.002902,Pas tensometryczny,-5173149,-5173149,true
session_20260821_142610_P001,41,4114,2026-08-21T14:26:15.055456,Pas tensometryczny,-5173158,-5173158,true
session_20260821_142610_P001,42,4208,2026-08-21T14:26:15.149590,Pas tensometryczny,-5173132,-5173132,true
session_20260821_142610_P001,43,4519,2026-08-21T14:26:15.460371,Pas tensometryczny,-5173113,-5173113,true
